Parameter,Category,Subcategory,Model Types,Type,Default,Constraints,Priority,Version,Description
warm_start,Autoloop Control,Retraining,"detection,classification,llm_finetune",bool,true,,P0,v1,Resume from previous checkpoint on retrain (vs fresh start from pretrained weights)
tuning_strategy,Autoloop Control,HP Tuning,"detection,classification,llm_finetune",string,schedule,"schedule,grid,random",P0,v1,Hyperparameter adjustment strategy for retrain iterations
search_space,Autoloop Control,HP Tuning,"detection,classification,llm_finetune",string (JSON),auto,,P1,v1,JSON defining tunable HPs and their ranges/values — auto-generated per task_type if not provided
lr_decay_factor,Autoloop Control,HP Tuning,"detection,classification,llm_finetune",float,0.5,0.1–1.0,P0,v1,Multiply learning rate by this factor on each retry (schedule strategy)
unfreeze_on_retry,Autoloop Control,HP Tuning,detection,bool,true,,P1,v1,Reduce frozen_stages by 1 on each retry iteration
early_stop_min_delta,Autoloop Control,Stopping,"detection,classification,llm_finetune",float,0.01,0.0–1.0,P1,v2,Minimum metric improvement between iterations — stop early if improvement is below this
overfitting_detection,Autoloop Control,Stopping,llm_finetune,bool,true,,P1,v2,Detect train_loss vs eval_loss divergence and trigger regularization adjustments
hyperparams_override,Autoloop Control,HP Tuning,"detection,classification,llm_finetune",string (JSON),"",,P1,v1,JSON blob of HP overrides passed from decision step to train step — values override named params
score_threshold,Evaluation,Detection,detection,float,0.05,0.0–1.0,P1,v1,Minimum detection confidence score for evaluation
iou_threshold,Evaluation,Detection,detection,float,0.6,0.0–1.0,P1,v1,IoU threshold for NMS during evaluation
eval_batch_size,Evaluation,Shared,"detection,classification,llm_finetune",int,4,1–64,P1,v1,Batch size for evaluation inference
eval_config,Evaluation,Task-Specific,"detection,classification,llm_finetune",string (JSON),auto,,P2,v2,JSON blob for task-specific eval settings (detection: score/iou thresholds; classification: topk; LLM: max_new_tokens/temperature)
checkpoint_source,Internal,Step Routing,"detection,classification,llm_finetune",string,artifact,"artifact,path",P0,v1,How eval step obtains the checkpoint — artifact (download from store) or path (from prior train step)
checkpoint_path,Internal,Step Routing,"detection,classification,llm_finetune",string,"",,P0,v1,Filesystem path to trained checkpoint (passed between train → eval steps)
config_path,Internal,Step Routing,"detection,classification",string,"",,P0,v1,Path to MMDetection/MMPretrain config file from train step
eval_results_json,Internal,Step Routing,"detection,classification,llm_finetune",string,"",,P0,v1,Path to evaluation results JSON (passed from eval → decision step)
current_iteration,Internal,Loop State,"detection,classification,llm_finetune",int,1,1+,P0,v1,Current loop iteration counter (incremented by decision step)
hp_history,Internal,Loop State,"detection,classification,llm_finetune",string (JSON),"[]",,P1,v1,JSON array of all previous iteration configs + metrics (accumulated each iteration)
hyperparams_json,Internal,Step Output,"detection,classification,llm_finetune",string (JSON),"",,P0,v1,JSON blob output by decision step with adjusted HPs for next iteration
epoch_scale_factor,Autoloop Control,HP Tuning,"detection,classification,llm_finetune",float,1.0,1.0–3.0,P2,v2,Multiply num_epochs by this factor on each retry to allow lower LR more convergence time
max_parallel_runs,Autoloop Control,Parallelism,"detection,classification,llm_finetune",int,1,1–5,P2,v2,Maximum concurrent training runs for parallel grid/random search (requires withParam fan-out)
notification_webhook,Autoloop Control,Observability,"detection,classification,llm_finetune",string,"",,P3,v3,Slack/email webhook URL for failure notifications
multi_metric_condition,Autoloop Control,Decision,"detection,classification,llm_finetune",string (JSON),"",,P3,v3,"Compound metric conditions (e.g., {""AP"": "">=0.50"", ""AP50"": "">=0.70""}) for stricter quality gates"
